"SampleID","Site","Depth..cm.","Gravel....","Sand....","Silt...Clay....","Year"
"PSA-1","BF1","0--1",0,43.7,56.3,"2013"
"PSA-1","BF1","1--2.5",1.3,63.6,35.2,"2013"
"PSA-2","BF1","0--0.3",0,52.3,47.7,"2013"
"PSA-2","BF1","0.3--1.7",4.7,67.3,28,"2013"
"Core 1-11","BF1","0--1.0",0,56,44,"2013"
"Core 1-11","BF1","1--2.5",2.5,55.2,42.3,"2013"
"Core 1-12","BF1","0--0.5",0,40.8,59.2,"2013"
"Core 1-12","BF1","0.5--2.0",6.7,46.6,46.7,"2013"
"PSA 3-1","BF3","0--0.1",57.7,37.1,5.2,"2013"
"PSA 3-1","BF3","0.1--1.5",28,51.9,20.1,"2013"
"PSA 3-2","BF3","0--0.6",1.7,62.1,36.2,"2013"
"PSA 3-2","BF3","0.6--2.1",0.8,70.3,28.9,"2013"
"Core 3-11","BF3","0--0.5",20.8,45.1,34.1,"2013"
"Core 3-11","BF3","0.5--2.0",13.2,53.6,33.3,"2013"
"Core 3-12","BF3","0--0.5",55.8,35.9,8.3,"2013"
"Core 3-12","BF3","0.5--2.0",28,53,19,"2013"
"PSA 5-1","BF5","0--1",1.1,53.6,45.3,"2013"
"PSA 5-1","BF5","1--2.5",0,48.9,51.1,"2013"
"PSA 5-2","BF5","0--2.5",0,67.3,32.7,"2013"
"PSA 5-2","BF5","2.5--4.0",0.2,46.8,53,"2013"
"Core 5-11","BF5","0--1.7",0,78,22,"2013"
"Core 5-11","BF5","1.7--3.2",1.5,73.2,25.4,"2013"
"Core 5-12","BF5","0.0--1.5",0,85.2,14.8,"2013"
"Core 5-12","BF5","1.5--3.0",0,70.8,29.2,"2013"
"BF 5-1A","BF5","0--1",0,78.5,21.5,"2015"
"BF 5-1A","BF5","1--3",0,69.6,30.4,"2015"
"BF 5-1B","BF5","0--1",0,73.3,26.7,"2015"
"BF 5-1B","BF5","1--3",0,74.9,25.1,"2015"
"BF 5-2","BF5","0--1",0,74.5,25.6,"2015"
"BF 5-2","BF5","1--3",0,76.8,23.2,"2015"
"BF 5-3A","BF5","0--1",1.2,61.1,37.7,"2015"
"BF 5-3A","BF5","1--3",2.1,70.1,27.9,"2015"
"BF 5-3B","BF5","0--1",0,62.8,37.2,"2015"
"BF 5-3B","BF5","1--3",2.1,59.5,38.4,"2015"
"BF 5-4","BF5","0--1",0,85.2,14.8,"2015"
"BF 5-4","BF5","1--3",0.2,70.4,29.5,"2015"
"BF 5-5A","BF5","0--1",0,98.1,1.9,"2015"
"BF 5-5A","BF5","1--3",0,71.1,28.9,"2015"
"BF 5-5B","BF5","0--1",0,94.2,5.8,"2015"
"BF 5-5B","BF5","1--3",0,95.7,4.4,"2015"
"BF 5-6","BF5","0--1",0.3,85.3,14.4,"2015"
"BF 5-6","BF5","1--3",4.2,85,10.9,"2015"
"BF 5-7A","BF5","0--1",0,95.8,4.2,"2015"
"BF 5-7A","BF5","1--3",4.3,84.4,11.3,"2015"
"BF 5-7B","BF5","0--1",0,93.3,6.7,"2015"
"BF 5-7B","BF5","1--3",0,83.6,16.4,"2015"
"BF 5-8","BF5","0--1",0,98.8,1.2,"2015"
"BF 5-8","BF5","1--3",0,92.8,7.3,"2015"
"BF 5-9A","BF5","0--1",0,95.7,4.4,"2015"
"BF 5-9A","BF5","1--3",1.4,76.3,22.3,"2015"
"BF 5-9B","BF5","0--1",0,49.4,50.6,"2015"
"BF 5-9B","BF5","1--3",0,74.2,25.8,"2015"
"BF 5-10","BF5","0--1",0,57.6,42.5,"2015"
"BF 5-10","BF5","1--3",2.4,65.4,32.3,"2015"
"BF 3-1A","BF3","0--1",6.6,78.2,15.2,"2015"
"BF 3-1A","BF3","1--3",10.7,65.4,23.9,"2015"
"BF 3-1B","BF3","0--1",0.3,72.9,26.9,"2015"
"BF 3-1B","BF3","1--3",12.8,65.5,21.8,"2015"
"BF 3-2","BF3","0--1",0,98.3,1.7,"2015"
"BF 3-2","BF3","1--3",9.5,46.8,43.6,"2015"
"BF 3-3A","BF3","0--1",0,75.9,24.1,"2015"
"BF 3-3A","BF3","1--3",3.2,74.9,21.9,"2015"
"BF 3-3B","BF3","0--1",0.7,71.7,27.5,"2015"
"BF 3-3B","BF3","1--3",12.2,63.4,24.4,"2015"
"BF 3-4","BF3","0--1",0,77.2,22.8,"2015"
"BF 3-4","BF3","1--3",4.1,62.1,33.8,"2015"
"BF 3-5A","BF3","0--1",29.2,43.3,27.5,"2015"
"BF 3-5A","BF3","1--3",16.5,51.3,32.2,"2015"
"BF 3-5B","BF3","0--1",11.4,49.6,39,"2015"
"BF 3-5B","BF3","1--3",10.2,51.7,38.1,"2015"
"BF 3-6","BF3","0--1",1.1,64.7,34.2,"2015"
"BF 3-6","BF3","1--3",1,64.8,34.2,"2015"
"BF 3-7A","BF3","0--1",15.1,58.7,26.2,"2015"
"BF 3-7A","BF3","1--3",4.9,71.2,23.9,"2015"
"BF 3-7B","BF3","0--1",12.5,63.7,23.9,"2015"
"BF 3-7B","BF3","1--3",7.7,65.2,27.1,"2015"
"BF 3-8","BF3","0--1",1.8,89.2,9,"2015"
"BF 3-8","BF3","1--3",16.3,67.2,16.5,"2015"
"BF 3-9A","BF3","0--1",0,55.8,44.2,"2015"
"BF 3-9A","BF3","1--3",2.2,70.1,27.7,"2015"
"BF 3-9B","BF3","0--1",0.2,56.6,43.2,"2015"
"BF 3-9B","BF3","1--3",0.8,67.9,31.3,"2015"
"BF 3-10","BF3","0--1",5.3,68.8,25.9,"2015"
"BF 3-10","BF3","1--3",13.5,67.1,19.4,"2015"
"BF 1-1A","BF1","0--1",0,64,36,"2015"
"BF 1-1A","BF1","1--3",0,65.6,34.4,"2015"
"BF 1-1B","BF1","0--1",0,56.7,43.3,"2015"
"BF 1-1B","BF1","1--3",0,71.5,28.5,"2015"
"BF 1-2","BF1","0--1",2.8,56,41.2,"2015"
"BF 1-2","BF1","1--3",3.1,67.4,29.5,"2015"
"BF 1-3A","BF1","0--1",26.8,49.4,23.8,"2015"
"BF 1-3A","BF1","1--3",19.3,59.9,20.8,"2015"
"BF 1-3B","BF1","0--1",25.2,50.3,24.5,"2015"
"BF 1-3B","BF1","1--3",23.1,57.7,19.1,"2015"
"BF 1-4","BF1","0--1",0.5,61.1,38.5,"2015"
"BF 1-4","BF1","1--3",2.8,66.3,30.9,"2015"
"BF 1-5A","BF1","0--1",3.4,73.3,23.3,"2015"
"BF 1-5A","BF1","1--3",0.5,61.1,38.4,"2015"
"BF 1-5B","BF1","0--1",1.1,89.3,9.6,"2015"
"BF 1-5B","BF1","1--3",0.8,72.4,26.8,"2015"
"BF 1-6","BF1","0--1",0,67.5,32.5,"2015"
"BF 1-6","BF1","1--3",0.8,74.6,24.5,"2015"
"BF 1-7A","BF1","0--1",4,75.3,20.7,"2015"
"BF 1-7A","BF1","1--3",3.7,78.2,18.1,"2015"
"BF 1-7B","BF1","0--1",5.6,69.1,25.3,"2015"
"BF 1-7B","BF1","1--3",5.7,74.8,19.5,"2015"
"BF 1-8","BF1","0--1",5.4,55.2,39.5,"2015"
"BF 1-8","BF1","1--3",3.6,63.4,33,"2015"
"BF 1-9A","BF1","0--1",1,63.3,35.7,"2015"
"BF 1-9A","BF1","1--3",3.8,69.4,26.7,"2015"
"BF 1-9B","BF1","0--1",0.4,59.8,39.7,"2015"
"BF 1-9B","BF1","1--3",8.5,70.9,20.5,"2015"
"BF 1-10","BF1","0--1",3.1,55,41.9,"2015"
"BF 1-10","BF1","1--3",7.8,48.1,44.1,"2015"
"BF 1-1A","BF1","0--1",4.3,71.5,24.2,"2017"
"BF 1-1A","BF1","1--3",8.6,69.6,21.8,"2017"
"BF 1-2","BF1","0--1",0,83.7,16.3,"2017"
"BF 1-2","BF1","1--3",1.4,67.9,30.7,"2017"
"BF 1-3A","BF1","0--1",23.7,58,18.4,"2017"
"BF 1-3A","BF1","1--3",15.2,63.5,21.3,"2017"
"BF 1-4","BF1","0--1",0.2,71.1,28.7,"2017"
"BF 1-4","BF1","1--3",1.1,71.6,27.3,"2017"
"BF 1-5A","BF1","0--1",0.5,67.4,32.1,"2017"
"BF 1-5A","BF1","1--3",1.1,64.9,34,"2017"
"BF 1-6","BF1","0--1",8.6,70.5,20.9,"2017"
"BF 1-6","BF1","1--3",5.2,76.9,17.9,"2017"
"BF 1-7A","BF1","0--1",2.9,79,18,"2017"
"BF 1-7A","BF1","1--3",5.6,80.2,14.2,"2017"
"BF 1-8","BF1","0--1",3.4,68.9,27.8,"2017"
"BF 1-8","BF1","1--3",3.2,73.4,23.4,"2017"
"BF 1-9A","BF1","0--1",3.2,69.1,27.7,"2017"
"BF 1-9A","BF1","1--3",13.2,70.9,15.9,"2017"
"BF 1-10","BF1","0--1",15,54.8,30.1,"2017"
"BF 1-10","BF1","1--3",13,59.6,27.4,"2017"
"BF 3-1A","BF3","0--1",9,79.5,11.4,"2017"
"BF 3-1A","BF3","1--3",8.8,75.3,15.9,"2017"
"BF 3-2","BF3","0--1",2.3,73.2,24.5,"2017"
"BF 3-2","BF3","1--3",2.3,79.9,17.8,"2017"
"BF 3-3A","BF3","0--1",0.4,79.4,20.2,"2017"
"BF 3-3A","BF3","1--3",9,74,17.1,"2017"
"BF 3-4","BF3","0--1",0,78,22,"2017"
"BF 3-4","BF3","1--3",3.4,76.9,19.7,"2017"
"BF 3-5A","BF3","0--1",0,79.5,20.5,"2017"
"BF 3-5A","BF3","1--3",6.5,71.6,21.9,"2017"
"BF 3-6","BF3","0--1",0.2,81.7,18.1,"2017"
"BF 3-6","BF3","1--3",2.1,75.3,22.6,"2017"
"BF 3-7A","BF3","0--1",0.4,79.1,20.5,"2017"
"BF 3-7A","BF3","1--3",12.3,71.5,16.2,"2017"
