SampleID,Site,0-1.0 cm,1.0-3.0 cm,3.0-6.0 cm
BF1-1,BF1,0.82,1.01,1.21
BF1-2,BF1,0.47,0.74,1.12
BF1-3,BF1,1.19,1.29,1.75
BF1-4,BF1,0.84,0.98,1.28
BF1-5,BF1,0.63,1.06,1.34
BF1-6,BF1,0.42,0.70,1.29
BF1-7,BF1,0.65,1.09,1.39
BF1-8,BF1,0.89,1.36,1.43
BF1-9,BF1,0.73,1.03,1.40
BF1-10,BF1,0.42,0.66,0.85
BF2-1,BF2,1.12,1.31,1.43
BF2-2,BF2,1.12,1.08,1.34
BF2-3,BF2,1.02,1.26,1.45
BF2-4,BF2,0.74,1.09,1.29
BF2-5,BF2,0.93,0.88,1.38
BF2-6,BF2,1.39,1.14,1.44
BF2-7,BF2,1.75,1.40,1.51
BF2-8,BF2,1.40,1.24,1.39
BF2-9,BF2,0.61,1.10,1.40
BF2-10,BF2,0.71,0.75,1.28
BF3-1,BF3,0.50,1.05,1.45
BF3-2,BF3,1.15,1.20,1.34
BF3-3,BF3,0.58,0.95,1.19
BF3-4,BF3,0.79,0.96,1.41
BF3-5,BF3,1.30,1.04,1.39
BF3-6,BF3,0.91,1.28,1.46
BF3-7,BF3,0.69,0.93,1.47
BF3-8,BF3,0.42,0.87,1.28
BF3-9,BF3,0.43,0.69,1.00
BF3-10,BF3,0.80,1.32,1.27
BF4-1,BF4,1.03,1.30,1.57
BF4-2,BF4,1.44,1.41,1.33
BF4-3,BF4,1.24,1.38,1.60
BF4-4,BF4,1.14,1.39,1.60
BF4-5,BF4,0.79,1.12,1.42
BF4-6,BF4,1.09,0.92,1.37
BF4-7,BF4,0.86,1.02,1.34
BF4-8,BF4,0.58,1.20,1.57
BF4-9,BF4,0.89,1.30,1.35
BF4-10,BF4,1.39,1.30,1.43
BF5-1,BF5,0.18,0.34,0.86
BF5-2,BF5,0.28,0.45,1.04
BF5-3,BF5,0.87,1.10,1.25
BF5-4,BF5,0.86,0.87,1.07
BF5-5,BF5,0.25,0.43,0.85
BF5-6,BF5,0.42,0.73,1.13
BF5-7,BF5,0.85,1.07,1.19
BF5-8,BF5,0.53,0.60,0.97
BF5-9,BF5,0.38,0.60,1.18
BF5-10,BF5,0.45,0.53,0.92
BF6-1,BF6,0.36,1.20,1.38
BF6-2,BF6,0.30,0.73,1.22
BF6-3,BF6,0.46,0.84,1.44
BF6-4,BF6,0.69,1.31,1.47
BF6-5,BF6,0.97,1.13,1.47
BF6-6,BF6,0.64,0.96,1.21
BF6-7,BF6,0.85,1.10,1.27
BF6-8,BF6,0.52,0.59,0.90
BF6-9,BF6,0.55,1.10,1.43
BF6-10,BF6,0.64,0.63,0.97
