SampleID,Site,Depth(cm),Bulk density(g/cm^3),
PSA 1-1,BF1,0-1.0,0.78,
PSA 1-1,BF1,1-2.5,1.07,
PSA 1-1,BF1,2.5-5.0,1.28,
PSA 1-2,BF1,0-0.3,1.05,
PSA 1-2,BF1,0.3-1.7,0.93,
PSA 1-2,BF1,1.7-4.2,1.32,
Core 1-11,BF1,0-1.0,0.80,
Core 1-11,BF1,1-2.5,1.04,
Core 1-11,BF1,2.5-5.0,1.14,
Core 1-12,BF1,0-0.5,0.73,
Core 1-12,BF1,0.5-2.0,1.20,
Core 1-12,BF1,2.0-4.5,1.20,
PSA 2-1,BF2,0-0.7,1.17,
PSA 2-1,BF2,0.7-2.2,1.22,
PSA 2-1,BF2,2.2-4.7,1.52,
PSA 2-2,BF2,0-1.0,0.70,
PSA 2-2,BF2,1.0-2.5,1.39,
PSA 2-2,BF2,2.5-5.0,1.09,
Core 2-11,BF2,0-0.5,1.03,
Core 2-11,BF2,0.5-2.0,1.38,
Core 2-11,BF2,2.0-4.5,1.21,
Core 2-12,BF2,0-0.5,0.95,
Core 2-12,BF2,0.5-2.0,0.83,
Core 2-12,BF2,2.0-4.5,1.17,
PSA 3-1,BF3,0.1-1.5,1.24,
PSA 3-1,BF3,1.5-3.9,1.23,
PSA 3-2,BF3,0-0.6,0.67,
PSA 3-2,BF3,0.6-2.1,0.97,
PSA 3-2,BF3,2.1-4.6,1.18,
Core 3-11,BF3,0-0.5,1.20,
Core 3-11,BF3,0.5-2.0,0.79,
Core 3-11,BF3,2.0-4.5,1.03,
Core 3-12,BF3,0-0.5,1.16,
Core 3-12,BF3,0.5-2.0,1.33,
Core 3-12,BF3,2.0-4.5,1.47,
PSA 4-1,BF4,0.0-0.2,1.12,
PSA 4-1,BF4,0.2-1.9,0.95,
PSA 4-1,BF4,1.9-4.2,1.10,
PSA 4-2,BF4,0.0-0.4,1.65,
PSA 4-2,BF4,0.5-2.0,1.05,
PSA 4-2,BF4,2.0-4.5,1.24,
Core 4-11,BF4,0.0-1.0,1.02,
Core 4-11,BF4,1.0-2.5,1.00,
Core 4-11,BF4,2.5-5.0,1.17,
Core 4-12,BF4,0.0-0.05,0.92,
Core 4-12,BF4,0.05-1.55,0.77,
Core 4-12,BF4,1.55-4.05,1.12,
PSA 5-1,BF5,0-1,0.51,
PSA 5-1,BF5,1-2.5,0.70,
PSA 5-1,BF5,2.5-5.0,0.82,
PSA 5-2,BF5,0-2.5,0.44,
PSA 5-2,BF5,2.5-4.0,0.61,
PSA 5-2,BF5,4.0-6.5,0.81,
Core 5-11,BF5,0-1.7,0.19,
Core 5-11,BF5,1.7-3.2,0.77,
Core 5-11,BF5,3.2-5.7,1.07,
Core 5-12,BF5,0.0-1.5,0.16,
Core 5-12,BF5,1.5-3.0,0.45,
Core 5-12,BF5,3.0-5.5,0.95,
PSA 6-1,BF6,0-1.5,0.55,
PSA 6-1,BF6,1.5-3.0,1.16,
PSA 6-1,BF6,3.0-5.5,1.22,
PSA 6-2,BF6,0-1.5,0.62,
PSA 6-2,BF6,1.5-3.0,0.93,
PSA 6-2,BF6,3.0-5.5,1.14,
Core 6-11,BF6,0-0.8,0.32,
Core 6-11,BF6,0.8-2.3,0.71,
Core 6-11,BF6,2.3-4.8,0.98,
Core 6-12,BF6,0.0-1.5,0.68,
Core 6-12,BF6,1.5-3.0,1.08,
Core 6-12,BF6,3.0-5.5,1.26,
,,,,
