SampleID,Site,0-1.0 cm,1.0-3.0 cm,3.0-6.0 cm
BF1-1A,BF1,0.82,0.94,1.36
BF1-2,BF1,0.63,1.04,1.03
BF1-3A,BF1,1.58,1.34,1.43
BF1-4,BF1,1.23,1.12,1.41
BF1-5A,BF1,1.03,1.34,1.38
BF1-6,BF1,0.84,1.21,1.34
BF1-7A,BF1,1.59,1.21,1.32
BF1-8,BF1,0.98,1.04,1.31
BF1-9A,BF1,1.42,1.06,1.60
BF1-10,BF1,1.53,1.26,1.46
BF3-1A,BF3,0.62,1.34,1.44
BF3-2,BF3,0.70,1.13,1.50
BF3-3A,BF3,1.01,1.03,1.32
BF3-4,BF3,0.35,0.95,1.45
BF3-5A,BF3,0.61,1.32,1.42
BF3-6,BF3,0.96,1.42,1.06
BF3-7A,BF3,0.76,1.02,1.54
BF3-8,BF3,0.93,1.32,1.55
BF3-9A,BF3,0.65,0.97,1.17
BF3-10,BF3,0.70,1.23,1.17
BF4-1A,BF4,1.96,1.46,1.52
BF4-2,BF4,1.10,0.96,1.24
BF4-3A,BF4,1.21,1.38,1.66
BF4-4,BF4,0.91,1.16,1.61
BF4-5A,BF4,1.29,1.16,1.52
BF4-6,BF4,1.07,1.63,1.56
BF4-7A,BF4,0.63,1.27,1.35
BF4-8,BF4,1.54,1.52,1.60
BF4-9A,BF4,1.39,1.17,1.39
BF4-10,BF4,1.25,1.27,1.51
BF5-1A,BF5,0.38,0.58,0.91
BF5-2,BF5,0.43,0.67,1.31
BF5-3A,BF5,1.02,1.05,1.30
BF5-4,BF5,0.75,0.80,1.02
BF5-5A,BF5,0.35,0.63,1.04
BF5-6,BF5,0.67,0.77,1.21
BF5-7A,BF5,0.27,0.59,1.33
BF5-8,BF5,0.79,0.79,0.95
BF5-9A,BF5,0.35,0.40,0.89
BF5-10,BF5,0.36,0.51,0.81
BF6-1A,BF6,0.79,0.76,1.18
BF6-2,BF6,1.01,1.18,1.27
BF6-3A,BF6,0.48,0.39,0.69
BF6-4,BF6,0.50,0.49,1.20
BF6-5A,BF6,0.45,0.75,1.42
BF6-6,BF6,0.75,0.69,1.17
BF6-7A,BF6,0.44,0.75,1.01
BF6-8,BF6,0.56,1.02,1.51
BF6-9A,BF6,0.66,0.58,1.03
BF6-10,BF6,1.28,1.24,1.44
