SampleID,Site,"Kfs (mm per hr), DL method","Sorptivity (mm per sqrt(hr)), DL method"
BF 6-2,BF6,85.0,1.4
BF 6-4,BF6,197.0,0.4
BF 6-5,BF6,18.0,0.3
BF 6-7,BF6,8.1,6.0
BF 6-8,BF6,162.0,8.6
BF 6-10,BF6,791.0,18.0
BF 5-3,BF5,19.0,40.8
BF 5-6,BF5,123.0,9.1
BF 5-7,BF5,147.0,8.3
BF 3-5,BF3,22.0,0.5
BF 3-6,BF3,120.0,2.2
BF 3-7,BF3,104.0,24.0
BF 3-10,BF3,69.0,8.3
BF 4-1,BF4,108.0,2.2
BF 4-2,BF4,285.0,1.7
BF 4-3,BF4,185.0,11.0
BF 4-5,BF4,93.0,0.8
BF 4-7,BF4,85.0,3.5
BF 4-9,BF4,69.0,13.0
BF 4-10,BF4,13.0,0.3
BF 2-1,BF2,181.0,6.5
BF 2-3,BF2,85.0,17.0
BF 2-6,BF2,8.5,0.1
BF 2-8,BF2,174.0,7.5
BF 2-9,BF2,29.0,1.9
BF 1-2,BF1,6.6,1.4
BF 1-3,BF1,24.0,1.3
BF 1-4,BF1,46.0,1.3
BF 1-5,BF1,33.0,3.4
BF 1-6,BF1,20.0,2.9
BF 1-7,BF1,39.0,1.0
BF 1-8,BF1,50.0,0.7
BF 1-9,BF1,3.4,0.3
