SampleID,Site,"Kfs (mm per hr), CL","Sorptivity (mm per sqrt(hr)), CL","Kfs (mm per hr), DL","Sorptivity (mm per sqrt(hr)), DL",Average Kfs (mm per hr),Average Sorptivity (mm per sqrt(hr))
BF 6-2,BF6,159.5,99.7,,,159.5,99.7
BF 6-3B,BF6,,,79.1,48.0,79.1,48.0
BF 6-4,BF6,770.9,4.9,,,770.9,4.9
BF 6-5A,BF6,677.6,43.4,,,677.6,43.4
BF 6-6,BF6,156.7,20.5,207.9,4.0,182.3,12.2
BF 6-7B,BF6,125.2,47.8,242.6,36.8,183.9,42.3
BF 6-8,BF6,,,21.4,2.9,21.4,2.9
BF 6-9B,BF6,693.7,22.8,810.0,5.6,751.8,14.2
BF 6-10,BF6,125.9,19.2,80.2,7.0,103.1,13.1
BF 5-1A,BF5,93.0,4.9,,,93.0,4.9
BF 5-2,BF5,358.6,47.3,,,358.6,47.3
BF 5-3A,BF5,4.6,34.3,28.7,23.0,16.6,28.7
BF 5-4,BF5,293.5,50.8,322.1,22.4,307.8,36.6
BF 5-5A,BF5,196.1,2.1,,,196.1,2.1
BF 5-6,BF5,178.0,42.3,322.1,18.8,250.0,30.6
BF 5-7A,BF5,128.4,24.7,209.8,2.9,169.1,13.8
BF 5-8,BF5,79.8,10.2,,,79.8,10.2
BF 5-9A,BF5,233.1,29.7,,,233.1,29.7
BF 5-10,BF5,306.9,3.0,232.2,2.0,269.5,2.5
BF 3-1A,BF3,99.9,19.7,120.3,13.3,110.1,16.5
BF 3-1B,BF3,,,103.8,4.0,103.8,4.0
BF 3-2,BF3,286.0,4.2,133.5,3.0,209.7,3.6
BF 3-3A,BF3,64.8,24.6,71.4,23.3,68.1,24.0
BF 3-3B,BF3,137.6,5.2,95.7,32.7,116.6,18.9
BF 3-4,BF3,140.5,18.5,178.6,6.1,159.5,12.3
BF 3-5A,BF3,0.8,20.3,2.0,19.7,1.4,20.0
BF 3-5B,BF3,,,7.1,15.5,7.1,15.5
BF 3-6,BF3,254.1,37.7,210.2,40.4,232.2,39.0
BF 3-7A,BF3,,,204.4,8.0,204.4,8.0
BF 3-7B,BF3,226.4,8.8,241.1,22.3,233.7,15.5
BF 3-8,BF3,120.1,20.5,115.7,19.4,117.9,19.9
BF 3-9A,BF3,223.2,16.7,230.3,17.5,226.7,17.1
BF 3-9B,BF3,115.2,58.6,79.1,71.4,97.1,65.0
BF 3-10,BF3,302.2,28.8,327.9,17.8,315.1,23.3
BF 4-1A,BF4,101.1,27.4,122.3,22.1,111.7,24.7
BF 4-1B,BF4,90.6,3.1,70.6,12.2,80.6,7.6
BF 4-2,BF4,131.0,48.1,158.1,43.1,144.6,45.6
BF 4-3A,BF4,,,29.2,21.0,29.2,21.0
BF 4-3B,BF4,9.9,28.2,11.5,30.2,10.7,29.2
BF 4-4,BF4,59.6,37.2,51.3,38.3,55.4,37.8
BF 4-5A,BF4,167.7,20.3,155.8,23.5,161.8,21.9
BF 4-7A,BF4,18.2,37.8,15.3,37.4,16.8,37.6
BF 4-7B,BF4,203.1,12.6,217.9,10.6,210.5,11.6
BF 4-8,BF4,16.8,26.9,21.6,23.0,19.2,25.0
BF 4-9A,BF4,124.4,1.9,109.2,4.9,116.8,3.4
BF 4-9B,BF4,7.7,38.3,12.8,35.5,10.3,36.9
BF 4-10,BF4,146.8,41.5,308.2,10.2,227.5,25.8
BF 2-1A,BF2,85.8,43.6,120.3,41.6,103.1,42.6
BF 2-1B,BF2,63.0,35.4,11.8,53.3,37.4,44.4
BF 2-2,BF2,62.0,34.0,126.9,3.0,94.5,18.5
BF 2-3A,BF2,148.1,24.6,140.4,25.6,144.3,25.1
BF 2-3B,BF2,85.0,16.5,93.0,16.1,89.0,16.3
BF 2-4,BF2,254.0,58.5,295.5,46.0,274.7,52.2
BF 2-5A,BF2,554.0,40.1,624.9,13.9,589.4,27.0
BF 2-5B,BF2,250.7,0.5,228.0,8.5,239.3,4.5
BF 2-6,BF2,95.7,30.1,152.7,4.4,124.2,17.3
BF 2-7A,BF2,49.6,31.4,90.3,20.9,69.9,26.1
BF 2-7B,BF2,34.6,26.0,90.3,12.6,62.4,19.3
BF 2-8,BF2,9.9,31.6,21.1,25.4,15.5,28.5
BF 2-9A,BF2,4.6,15.2,13.5,6.7,9.1,10.9
BF 2-9B,BF2,,,8.7,7.4,8.7,7.4
BF 2-10,BF2,110.4,18.3,120.0,4.4,115.2,11.4
BF 1-1A,BF1,323.6,11.2,247.6,4.5,285.6,7.9
BF 1-1B,BF1,101.9,18.2,131.5,10.0,116.7,14.1
BF 1-2,BF1,86.2,30.2,99.1,25.9,92.7,28.0
BF 1-3A,BF1,6.0,15.6,7.3,13.4,6.7,14.5
BF 1-3B,BF1,20.6,5.2,14.5,9.4,17.6,7.3
BF 1-4,BF1,111.3,17.7,157.0,4.4,134.2,11.1
BF 1-5A,BF1,8.6,48.9,33.2,43.1,20.9,46.0
BF 1-5B,BF1,115.3,2.6,81.4,9.8,98.4,6.2
BF 1-6,BF1,6.0,2.2,0.3,1.3,3.2,1.8
BF 1-7A,BF1,44.7,31.9,50.5,29.6,47.6,30.8
BF 1-7B,BF1,131.7,0.9,117.3,4.3,124.5,2.6
BF 1-8,BF1,115.6,41.7,87.9,50.6,101.8,46.2
BF 1-9A,BF1,44.3,24.4,,,44.3,24.4
BF 1-9B,BF1,62.3,11.4,72.9,2.8,67.6,7.1
BF 1-10,BF1,70.4,63.7,85.2,63.6,77.8,63.6
,,,,,,,
