SampleID,Site,Depth (cm),Gravel (%),Sand (%),Silt & Clay (%)
PSA-1,BF1,0--1,0,43.7,56.3
PSA-1,BF1,1--2.5,1.3,63.6,35.2
PSA-2,BF1,0--0.3,0,52.3,47.7
PSA-2,BF1,0.3--1.7,4.7,67.3,28
Core 1-11,BF1,0--1.0,0,56,44
Core 1-11,BF1,1--2.5,2.5,55.2,42.3
Core 1-12,BF1,0--0.5,0,40.8,59.2
Core 1-12,BF1,0.5--2.0,6.7,46.6,46.7
PSA 2-1,BF2,0--0.7,0.2,73.6,26.2
PSA 2-1,BF2,0.7--2.2,2.2,68.9,29
PSA 2-2,BF2,0--1.0,2.1,65.3,32.6
PSA 2-2,BF2,1.0--2.5,5.1,60.4,34.5
Core 2-11,BF2,0--0.5,9,65.9,25.2
Core 2-11,BF2,0.5--2.0,14,66.1,19.8
Core 2-12,BF2,0--0.5,2.6,48.6,48.8
Core 2-12,BF2,0.5--2.0,2.6,60.3,37.1
PSA 3-1,BF3,0--0.1,57.7,37.1,5.2
PSA 3-1,BF3,0.1--1.5,28,51.9,20.1
PSA 3-2,BF3,0--0.6,1.7,62.1,36.2
PSA 3-2,BF3,0.6--2.1,0.8,70.3,28.9
Core 3-11,BF3,0--0.5,20.8,45.1,34.1
Core 3-11,BF3,0.5--2.0,13.2,53.6,33.3
Core 3-12,BF3,0--0.5,55.8,35.9,8.3
Core 3-12,BF3,0.5--2.0,28,53,19
PSA 4-1,BF4,0.0--0.2,2.2,60.4,37.4
PSA 4-1,BF4,0.2--1.9,3.1,55.6,41.3
PSA 4-2,BF4,0.0--0.4,0.4,54.9,44.7
PSA 4-2,BF4,0.5--2.0,0.9,57.7,41.4
Core 4-11,BF4,0.0--1.0,0.7,52,47.2
Core 4-11,BF4,1.0--2.5,2.2,61,36.7
Core 4-12,BF4,0.0--0.05,0,57.5,42.5
Core 4-12,BF4,0.05--1.55,3.7,63,33.3
PSA 5-1,BF5,0--1,1.1,53.6,45.3
PSA 5-1,BF5,1--2.5,0,48.9,51.1
PSA 5-2,BF5,0--2.5,0,67.3,32.7
PSA 5-2,BF5,2.5--4.0,0.2,46.8,53
Core 5-11,BF5,0--1.7,0,78,22
Core 5-11,BF5,1.7--3.2,1.5,73.2,25.4
Core 5-12,BF5,0.0--1.5,0,85.2,14.8
Core 5-12,BF5,1.5--3.0,0,70.8,29.2
PSA 6-1,BF6,0--1.5,13.8,47.2,39
PSA 6-1,BF6,1.5--3.0,20.1,48.4,31.5
PSA 6-2,BF6,0--1.5,13.1,30.6,56.3
PSA 6-2,BF6,1.5--3.0,23.4,49.7,27
Core 6-11,BF6,0--0.8,1.9,47.1,51
Core 6-11,BF6,0.8--2.3,8.3,36.9,54.7
Core 6-12,BF6,0.0--1.5,8.4,43.8,47.8
Core 6-12,BF6,1.5--3.0,23.3,52.6,24.1
